Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,11,3,0.9862810194500335,0.8885496183206106,0.8062780269058296,0.41837000268638874,0.4183532520569335,0.5637583892617449,0.70917225950783,0.7818791946308725,0.56,0.8565022421524664,0.5675675675675675,0.8526785714285714,0.7082511210762332,"[0.8526785714285714, 0.5675675675675675]","[0.8565022421524664, 0.56]","[0.854586129753915, 0.5637583892617449]","[0.8565022421524664, 0.56]"
Gradient Boosting,12,3,0.9866702067547604,0.8871224165341812,0.8213409192324856,0.4574792781224367,0.44167807792854474,0.5652173913043478,0.717391304347826,0.7993311036789298,0.46987951807228917,0.9259259259259259,0.7090909090909091,0.819672131147541,0.6979027219991075,"[0.819672131147541, 0.7090909090909091]","[0.9259259259259259, 0.46987951807228917]","[0.8695652173913043, 0.5652173913043478]","[0.9259259259259259, 0.46987951807228917]"
Gradient Boosting,13,3,0.9867724867724867,0.8798646362098139,0.7930693069306931,0.37014180223101695,0.3527234123635571,0.5212121212121212,0.670217044587754,0.7375415282392026,0.42574257425742573,0.895,0.671875,0.7552742616033755,0.6603712871287128,"[0.7552742616033755, 0.671875]","[0.895, 0.42574257425742573]","[0.8192219679633868, 0.5212121212121212]","[0.895, 0.42574257425742573]"
Gradient Boosting,14,3,0.984015444015444,0.8722741433021807,0.7986309523809524,0.4066220235874472,0.40041399831813185,0.5303030303030303,0.6986279100013005,0.7926421404682275,0.4666666666666667,0.9017857142857143,0.6140350877192983,0.8347107438016529,0.6842261904761905,"[0.8347107438016529, 0.6140350877192983]","[0.9017857142857143, 0.4666666666666667]","[0.8669527896995708, 0.5303030303030303]","[0.9017857142857143, 0.4666666666666667]"
Gradient Boosting,15,3,0.9839371084019679,0.8798701298701299,0.8036491810076716,0.468136033767074,0.44815125321615457,0.5771812080536913,0.7196628140924912,0.7920792079207921,0.4725274725274725,0.9292452830188679,0.7413793103448276,0.8040816326530612,0.7008863777731702,"[0.8040816326530612, 0.7413793103448276]","[0.9292452830188679, 0.4725274725274725]","[0.862144420131291, 0.5771812080536913]","[0.9292452830188679, 0.4725274725274725]"
Gradient Boosting,16,4,0.98540001076745,0.8895800933125972,0.7989657401422107,0.4414395223659375,0.4412832569489912,0.5827814569536424,0.7206042116228886,0.7885906040268457,0.5714285714285714,0.8642533936651584,0.5945945945945946,0.8526785714285714,0.7178409825468649,"[0.8526785714285714, 0.5945945945945946]","[0.8642533936651584, 0.5714285714285714]","[0.8584269662921349, 0.5827814569536424]","[0.8642533936651584, 0.5714285714285714]"
Gradient Boosting,17,4,0.9837327042629532,0.8832807570977917,0.7628968253968254,0.4048914588846521,0.4039509536784741,0.5625,0.7017045454545454,0.7666666666666667,0.5357142857142857,0.8564814814814815,0.5921052631578947,0.8258928571428571,0.6960978835978836,"[0.8258928571428571, 0.5921052631578947]","[0.8564814814814815, 0.5357142857142857]","[0.8409090909090909, 0.5625]","[0.8564814814814815, 0.5357142857142857]"
Gradient Boosting,18,4,0.9829555738092918,0.8745874587458746,0.8132387706855791,0.42866879660245955,0.4135204585886538,0.5605095541401274,0.7027266871824233,0.770764119601329,0.46808510638297873,0.9082125603864735,0.6984126984126984,0.7899159663865546,0.6881488333847261,"[0.7899159663865546, 0.6984126984126984]","[0.9082125603864735, 0.46808510638297873]","[0.8449438202247191, 0.5605095541401274]","[0.9082125603864735, 0.46808510638297873]"
Gradient Boosting,19,4,0.987913379217727,0.8871715610510046,0.8263690476190476,0.39628939075787156,0.3927778130354763,0.5294117647058824,0.695441813088872,0.7859531772575251,0.48,0.8883928571428571,0.5901639344262295,0.8361344537815126,0.6841964285714286,"[0.8361344537815126, 0.5901639344262295]","[0.8883928571428571, 0.48]","[0.8614718614718615, 0.5294117647058824]","[0.8883928571428571, 0.48]"
Gradient Boosting,20,4,0.9858399664851278,0.8747913188647746,0.8006102212051869,0.34015043088917607,0.3107847153139446,0.4583333333333333,0.6443840579710145,0.7417218543046358,0.3473684210526316,0.9227053140096618,0.673469387755102,0.7549407114624506,0.6350368675311467,"[0.7549407114624506, 0.673469387755102]","[0.9227053140096618, 0.3473684210526316]","[0.8304347826086956, 0.4583333333333333]","[0.9227053140096618, 0.3473684210526316]"
Gradient Boosting,21,5,0.9839861672259125,0.8958990536277602,0.7667211328976035,0.29541172927491793,0.28398902104300083,0.44285714285714284,0.637012987012987,0.7408637873754153,0.36470588235294116,0.8888888888888888,0.5636363636363636,0.7804878048780488,0.626797385620915,"[0.7804878048780488, 0.5636363636363636]","[0.8888888888888888, 0.36470588235294116]","[0.8311688311688312, 0.44285714285714284]","[0.8888888888888888, 0.36470588235294116]"
Gradient Boosting,22,5,0.9827092096713519,0.8874801901743264,0.7894304490690033,0.43949045237190726,0.43749464484619993,0.5806451612903226,0.7182604963879551,0.7854785478547854,0.5421686746987951,0.8772727272727273,0.625,0.8354978354978355,0.7097207009857612,"[0.8354978354978355, 0.625]","[0.8772727272727273, 0.5421686746987951]","[0.8558758314855875, 0.5806451612903226]","[0.8772727272727273, 0.5421686746987951]"
Gradient Boosting,23,5,0.9844633627242323,0.895800933125972,0.7966013824884792,0.45061806576596186,0.44277673545966234,0.5714285714285714,0.7196349905601007,0.797979797979798,0.5,0.9078341013824884,0.6666666666666666,0.8312236286919831,0.7039170506912442,"[0.8312236286919831, 0.6666666666666666]","[0.9078341013824884, 0.5]","[0.8678414096916299, 0.5714285714285714]","[0.9078341013824884, 0.5]"
Gradient Boosting,24,5,0.9877007609230103,0.8924558587479936,0.816627358490566,0.446567955386886,0.44344501911400946,0.5925925925925926,0.7209538305428715,0.78,0.5454545454545454,0.8773584905660378,0.6486486486486487,0.8230088495575221,0.7114065180102915,"[0.8230088495575221, 0.6486486486486487]","[0.8773584905660378, 0.5454545454545454]","[0.8493150684931506, 0.5925925925925926]","[0.8773584905660378, 0.5454545454545454]"
Gradient Boosting,25,5,0.9889003578309937,0.889967637540453,0.8143927233814874,0.39715774168656975,0.39065415195614106,0.5477707006369427,0.6933864841053194,0.7625418060200669,0.48314606741573035,0.8809523809523809,0.6323529411764706,0.8008658008658008,0.6820492241840557,"[0.8008658008658008, 0.6323529411764706]","[0.8809523809523809, 0.48314606741573035]","[0.8390022675736961, 0.5477707006369427]","[0.8809523809523809, 0.48314606741573035]"
