model,split,test_auc,test_f1,test_accuracy,test_balanced_accuracy,test_sensitivity,test_specificity
config1,3,0.7533008658008659,0.4662576687116564,0.7080536912751678,0.6278138528138528,0.4318181818181818,0.8238095238095238
config1,4,0.7704158586511527,0.5700934579439252,0.6983606557377049,0.7069866408101702,0.7261904761904762,0.6877828054298643
config1,5,0.7519470404984424,0.5316455696202531,0.7516778523489933,0.6752336448598131,0.5,0.8504672897196262
config2,1,0.70298721340388,0.32,0.7166666666666667,0.5704365079365079,0.23809523809523808,0.9027777777777778
config2,2,0.7687740516767454,0.57,0.7123745819397993,0.69978009895547,0.6705882352941176,0.7289719626168224
config2,3,0.7261363636363637,0.391304347826087,0.7181208053691275,0.5986471861471861,0.3068181818181818,0.8904761904761904
config2,4,0.7415427709545357,0.5550239234449761,0.6950819672131148,0.6936543848308554,0.6904761904761905,0.6968325791855203
config2,5,0.7417111704494882,0.4473684210526316,0.7181208053691275,0.6229417000445038,0.40476190476190477,0.8411214953271028
config3,1,0.41534391534391535,0.4375,0.28,0.5,1.0,0.0
config3,2,0.6503023639362286,0.0,0.7157190635451505,0.5,0.0,1.0
config3,3,0.5,0.45595854922279794,0.2953020134228188,0.5,1.0,0.0
config3,4,0.6710838181426416,0.4397905759162304,0.6491803278688525,0.6029411764705883,0.5,0.7058823529411765
config3,5,0.7620716510903427,0.6010362694300518,0.7416107382550335,0.7260792167334224,0.6904761904761905,0.7616822429906542
config4,1,0.6755401234567902,0.43902439024390244,0.6933333333333334,0.6124338624338624,0.42857142857142855,0.7962962962962963
config4,2,0.7052226498075865,0.5,0.6789297658862876,0.644502473886751,0.5647058823529412,0.7242990654205608
config4,3,0.6816558441558441,0.35294117647058826,0.6677852348993288,0.5629329004329005,0.3068181818181818,0.819047619047619
config4,4,0.6749622926093514,0.3611111111111111,0.6983606557377049,0.5778388278388278,0.30952380952380953,0.8461538461538461
config4,5,0.6542056074766356,0.3246753246753247,0.6510067114093959,0.543669336893636,0.2976190476190476,0.7897196261682243
config5,1,0.6889880952380952,0.3548387096774194,0.7333333333333333,0.5892857142857143,0.2619047619047619,0.9166666666666666
config5,2,0.6459043430456294,0.4896265560165975,0.5886287625418061,0.6204233095107201,0.6941176470588235,0.5467289719626168
config5,3,0.6883658008658009,0.5358851674641149,0.674496644295302,0.6634199134199135,0.6363636363636364,0.6904761904761905
config5,4,0.6524455936220642,0.4180790960451977,0.6622950819672131,0.5935412626589097,0.44047619047619047,0.746606334841629
