,AUC,Pos.vs.Neg.,Cutoff-Threshold,Sensitivity,Specificity,Test,p-value
adc_original_glrlm_GrayLevelNonUniformityNormalized,0.583343365253078,<,0.0669357186280205,0.5572093023255814,0.5623529411764706,mann-whitney U-test,4.731038573646697e-07
t2_logarithm_glrlm_LongRunLowGrayLevelEmphasis,0.5832755129958961,>,0.0544159199241408,0.56,0.5618604651162791,mann-whitney U-test,4.833407057113447e-07
t2_log-sigma-0-6-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.5832470588235295,>,0.0040337843043522,0.56,0.5609302325581396,mann-whitney U-test,4.876968622807591e-07
dwi_wavelet2-HL_glcm_ClusterProminence,0.5832120383036936,>,30.9245503436668,0.5552941176470588,0.5581395348837209,mann-whitney U-test,4.931102817615381e-07
dwi_wavelet-LH_glcm_SumSquares,0.5831332421340629,>,0.5655450370118,0.5694117647058824,0.5693023255813954,mann-whitney U-test,5.055031806818028e-07
dwi_wavelet-HH_glrlm_RunPercentage,0.5831222982216142,>,0.5555645161290323,0.548235294117647,0.5497674418604651,mann-whitney U-test,5.072479702739149e-07
dwi_log-sigma-3-mm-3D_gldm_DependenceEntropy,0.58307414500684,>,4.466893188372292,0.56,0.56,mann-whitney U-test,5.149944095856728e-07
adc_original_shape_Sphericity,0.5829778385772914,<,0.8403036989397228,0.5544186046511628,0.5529411764705883,mann-whitney U-test,5.308308954032508e-07
dwi_wavelet-HL_glszm_GrayLevelNonUniformity,0.5829067031463748,<,91.29779411764706,0.5655813953488372,0.5647058823529412,mann-whitney U-test,5.4282873092e-07
t2_wavelet-HL_glrlm_LongRunHighGrayLevelEmphasis,0.5828093023255814,<,503.1110622762135,0.5618604651162791,0.56,mann-whitney U-test,5.596814030424973e-07
dwi_wavelet2-HL_ngtdm_Complexity,0.5827020519835842,>,23.06252478739597,0.5529411764705883,0.5525581395348838,mann-whitney U-test,5.788216939388447e-07
t2_log-sigma-3-mm-3D_ngtdm_Strength,0.5826889192886456,>,0.0650108265161218,0.5647058823529412,0.5674418604651164,mann-whitney U-test,5.812083198335944e-07
dwi_log-sigma-0-6-mm-3D_glcm_JointEntropy,0.5825357045143639,>,2.009755133220587,0.56,0.5581395348837209,mann-whitney U-test,6.097627171786843e-07
adc_wavelet2-LL_glszm_SmallAreaLowGrayLevelEmphasis,0.582500683994528,>,0.0006893131696175,0.548235294117647,0.547906976744186,mann-whitney U-test,6.164767954021858e-07
t2_wavelet2-HL_gldm_LargeDependenceLowGrayLevelEmphasis,0.5824919288645691,>,0.132538277307698,0.5505882352941176,0.5525581395348838,mann-whitney U-test,6.181664161701303e-07
adc_square_ngtdm_Contrast,0.5824853625170998,>,0.0450408374679818,0.548235294117647,0.5497674418604651,mann-whitney U-test,6.194365599819567e-07
dwi_log-sigma-0-6-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.5824766073871409,<,0.1834914182475158,0.5441860465116279,0.5458823529411765,mann-whitney U-test,6.211323332666855e-07
adc_wavelet2-LL_firstorder_RobustMeanAbsoluteDeviation,0.5824437756497948,>,530.5475264144872,0.5552941176470588,0.5581395348837209,mann-whitney U-test,6.275394107781977e-07
dwi_squareroot_glcm_ClusterShade,0.582408755129959,>,-17.503999756758695,0.5576470588235294,0.5581395348837209,mann-whitney U-test,6.344420123451774e-07
dwi_logarithm_glszm_LargeAreaEmphasis,0.582391244870041,<,363.2605247101892,0.5609302325581396,0.5623529411764706,mann-whitney U-test,6.379206966497624e-07
dwi_original_shape_Sphericity,0.5823562243502052,<,0.8401495916242019,0.5581395348837209,0.5576470588235294,mann-whitney U-test,6.449332958936643e-07
dwi_wavelet-HH_gldm_SmallDependenceEmphasis,0.582323392612859,>,0.0692905909256418,0.5364705882352941,0.5358139534883721,mann-whitney U-test,6.515750404379975e-07
t2_wavelet2-HH_ngtdm_Contrast,0.5823212038303693,>,0.0075437372113145,0.56,0.56,mann-whitney U-test,6.520201593504212e-07
t2_wavelet2-LL_firstorder_Maximum,0.582240218878249,<,1116.214092167149,0.5525581395348838,0.5529411764705883,mann-whitney U-test,6.686971354828806e-07
t2_original_firstorder_Maximum,0.5822030095759234,<,282.25379164832003,0.5479069767441861,0.548235294117647,mann-whitney U-test,6.764966384709497e-07
t2_wavelet-LH_glszm_LowGrayLevelZoneEmphasis,0.5821789329685363,>,0.0160005048784233,0.5647058823529412,0.5683720930232559,mann-whitney U-test,6.815900094467321e-07
adc_wavelet2-HL_ngtdm_Contrast,0.5821636114911082,>,0.0245449730082487,0.5670588235294117,0.5683720930232559,mann-whitney U-test,6.848504637372769e-07
dwi_wavelet-HH_glrlm_ShortRunEmphasis,0.5821373461012312,>,0.6124133944228309,0.5505882352941176,0.5516279069767442,mann-whitney U-test,6.90474809656726e-07
t2_logarithm_firstorder_Minimum,0.5820235294117646,>,-284.3163373606144,0.5552941176470588,0.5497674418604651,mann-whitney U-test,7.153654802947235e-07
t2_log-sigma-2-mm-3D_ngtdm_Complexity,0.5820169630642955,<,37.94163517031591,0.5479069767441861,0.5505882352941176,mann-whitney U-test,7.168275514819531e-07
dwi_wavelet-LH_gldm_GrayLevelVariance,0.5820147742818058,>,0.5769472353702259,0.5623529411764706,0.56,mann-whitney U-test,7.17315548015179e-07
t2_wavelet-LH_glrlm_LowGrayLevelRunEmphasis,0.5820147742818057,>,0.0145344090831771,0.5670588235294117,0.5665116279069767,mann-whitney U-test,7.17315548015179e-07
t2_wavelet-LH_firstorder_Maximum,0.581970998632011,<,86.4070603681873,0.5683720930232559,0.5670588235294118,mann-whitney U-test,7.271429620951522e-07
dwi_log-sigma-0-6-mm-3D_glcm_Correlation,0.5818965800273598,>,0.131985169918383,0.5576470588235294,0.5618604651162791,mann-whitney U-test,7.441479905217615e-07
